id	name	middlemap	backgroundmusic	type	x	y	z	show	fullscreensfx
0		0		0	0	0	0	1	0
16	沉沙滩	0	data\sound\背景音乐\副本场景\敖龙岛_战斗.mp3	0	16512	55552	0		0
32	迷雾沼	0	data\sound\背景音乐\世界通用场景\东海密林.mp3	0	22656	39424	0		0
48	静踪道	0	data\sound\背景音乐\世界通用场景\B04016 密道-全长.mp3	0	37376	20480	0		0
64	离忧台	0	data\sound\背景音乐\副本场景\敖龙岛_战斗.mp3	0	43904	45952	0		0
80	汇灵池	0	data\sound\背景音乐\副本场景\敖龙岛_战斗.mp3	0	29440	34432	0		0
96	泯藏海	0	data\sound\背景音乐\副本场景\尘归海战主题.mp3	0	32640	32896	0		0
112	敖龙岛	0	data\sound\背景音乐\副本场景\敖龙岛_战斗.mp3	0	32640	32896	0		0
128	敖龙岛	0	data\sound\背景音乐\副本场景\狼牙堡辉天堑_战斗.mp3	0	14464	8960	0		0
144	铁黎	0	data\sound\背景音乐\副本场景\B05025 副本普通战斗-全长.mp3	0	512	640	0		0
160	陈徽	0	data\sound\背景音乐\蓬莱\蓬莱变奏.mp3	0	1664	896	0		0
176	藤原	0	data\sound\背景音乐\倭寇\B05022.mp3	0	2560	768	0		0
192	源思弦	0	data\sound\背景音乐\副本场景\B05026 副本BOSS战斗（弱）-全长.mp3	0	3584	640	0		0
208	驺吾	0	data\sound\背景音乐\副本场景\B05027_副本BOSS战斗（中）_全长.mp3	0	4352	768	0		0
224	方有崖	0	data\sound\背景音乐\副本场景\冰火岛青莲狱.mp3	0	5376	768	0		0
240	逃脱关卡	0	data\sound\背景音乐\天策\zd-FB002.mp3	0	6272	768	0		0
