id	name	middlemap	backgroundmusic	type	x	y	z	show	fullscreensfx
0		0		0	0	0	0	1	0
23	蓬莱	0	data/sound/背景音乐/蓬莱/蓬莱主题.mp3	0	65408	65664	0		0
46	九辩馆	0	data/sound/背景音乐/蓬莱/蓬莱变奏.mp3	0	41728	124288	0		0
69	回心苑	0	data/sound/背景音乐/蓬莱/蓬莱变奏.mp3	0	39040	104704	0		0
92	蘅芷阁	0	data/sound/背景音乐/世界通用场景/东海村庄.mp3	0	51072	88064	0		0
115	九章别院	0	data/sound/背景音乐/蓬莱/蓬莱主题.mp3	0	41856	60416	0		0
138	远游渡	0	data/sound/背景音乐/世界通用场景/东海码头.mp3	0	6784	76928	0		0
161	悟剑谷	0	data/sound/背景音乐/蓬莱/蓬莱主题.mp3	0	83712	60928	0		0
184	九歌岛	0	data/sound/背景音乐/蓬莱/蓬莱变奏.mp3	0	25472	22528	0		0
207	太一神宫	0	data/sound/背景音乐/蓬莱/太一神宫.mp3	0	100992	67072	0		0
230	聚灵渊	0	data/sound/背景音乐/蓬莱/蓬莱主题.mp3	0	98944	120704	0		0
