id	npcid	middlemap	kind	type	position	defaultcheck	npctype	activityid	opactivityid
0	0	0		0	0	0	0	-1	-1
1	0	0	地图内交通	0	0	0	0	-1	-1
1	63091	0	短途驿夫	0	41820,45326,1048771;	0	47	-1	-1
1	63101	0	短途驿夫	0	84621,87426,1048672;	0	47	-1	-1
1	63105	0	短途驿夫	0	40305,23457,1048390;	0	47	-1	-1
1	63106	0	短途驿夫	0	102227,111625,1048601;	0	47	-1	-1
1	63107	0	短途驿夫	0	38557,95302,1177983;	0	47	-1	-1
1	63108	0	短途驿夫	0	75273,62253,1048778;	0	47	-1	-1
1	63109	0	短途驿夫	0	13868,58492,1048995;	0	47	-1	-1
2	0	0	跨地图交通	0	0	0	0	-1	-1
2	62427	0		0	13681,58410,1048986;	0	17	-1	-1
4	0	0	仓库	0	0	0	0	-1	-1
4	62990	0	仓库	0	33916,52808,1050140;	0	15	-1	-1
5	0	0	信使	0	0	0	0	-1	-1
5	62991	0	信使	0	33157,52818,1050096;	0	16	-1	-1
7	0	0	马匹与饲料商	0	0	0	0	-1	-1
7	63694	0	马匹与饲料商	0	32776,54369,1050130;	0	8	-1	-1
8	0	0	门派技能训练师	0	0	0	0	-1	-1
8	64443	0	武学训练师	0	88388,50483,1090930;	0	0	-1	-1
10	0	0	门派掌门	0	0	0	0	-1	-1
10	62269	0	蓬莱门主	0	96264,120917,1049903;	0	58	-1	-1
20	0	0	套装商	0	0	0	0	-1	-1
20	63699	0	甲字套装供应商	0	45413,58168,1049046;	0	2	-1	-1
20	63700	0	乙字套装供应商	0	45413,58599,1049046;	0	2	-1	-1
22	0	0	声望商	0	0	0	0	-1	-1
22	63696	0	蓬莱甲字声望商	0	41262,58171,1049046;	0	11	-1	-1
22	63698	0	蓬莱乙字声望商	0	41263,58621,1049046;	0	11	-1	-1
24	0	0	阅读与书籍	0	0	0	0	-1	-1
24	63693	0	教书先生	0	45339,56978,1049046;	0	7	-1	-1
25	0	0	杂货商	0	0	0	0	-1	-1
25	61831	0	杂货商	0	10362,57700,1049024;	0	4	-1	-1
25	62986	0	杂货商	0	40347,103738,1180907;	0	4	-1	-1
25	62987	0	杂货商	0	32865,53010,1050084;	0	4	-1	-1
25	62988	0	杂货商	0	16005,24891,1093400;	0	4	-1	-1
25	62989	0	杂货商	0	82635,59445,1053898;	0	4	-1	-1
