TRAFFICID1	TRAFFICID2	NODEID	CITYID	CAMP
0	0	0	0	0
1	2	2710	2663	0
1	3	2710	2657	0
1	4	2710	2662	0
1	5	2710	2712	0
1	6	2710	2656	0
1	7	2710	2711	0
2	1	2663	2710	0
2	3	2663	2657	0
2	4	2663	2662	0
2	5	2663	2712	0
2	6	2663	2656	0
2	7	2663	2711	0
3	1	2657	2710	0
3	2	2657	2663	0
3	4	2657	2662	0
3	5	2657	2712	0
3	6	2657	2656	0
3	7	2657	2711	0
4	1	2662	2710	0
4	2	2662	2663	0
4	3	2662	2657	0
4	5	2662	2712	0
4	6	2662	2656	0
4	7	2662	2711	0
5	1	2712	2710	0
5	2	2712	2663	0
5	3	2712	2657	0
5	4	2712	2662	0
5	6	2712	2656	0
5	7	2712	2711	0
6	1	2656	2710	0
6	2	2656	2663	0
6	3	2656	2657	0
6	4	2656	2662	0
6	5	2656	2712	0
6	7	2656	2711	0
7	1	2711	2710	0
7	2	2711	2663	0
7	3	2711	2657	0
7	4	2711	2662	0
7	5	2711	2712	0
7	6	2711	2656	0
